,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,143.9,-0.42,147.2,143.8,26028.0,3771.58,30/09/2021,14:29:53
1,ACERINOX,11.185,-0.27,11.385,11.17,400529.0,4519.13,30/09/2021,14:28:40
2,ACS,23.57,-0.21,23.98,23.46,456325.0,10833.68,30/09/2021,14:30:45
3,AENA,148.45,-0.3,149.8,145.95,72425.0,10750.7,30/09/2021,14:31:02
4,ALMIRALL,13.62,0.29,13.77,13.61,104301.0,1428.35,30/09/2021,14:20:02
5,AMADEUS,56.7,-1.63,58.22,56.36,199582.0,11422.32,30/09/2021,14:31:15
6,ARCELORMIT.,26.26,1.47,26.415,26.03,259835.0,6817.3,30/09/2021,14:31:05
7,B.SANTANDER,3.143,-0.43,3.194,3.125,12587980.0,39822.88,30/09/2021,14:31:51
8,BA.SABADELL,0.7186,-1.1,0.7434,0.7118,15670080.0,11364.48,30/09/2021,14:31:51
9,BANKINTER,5.08,0.36,5.114,5.038,772679.0,3919.72,30/09/2021,14:31:32
10,BBVA,5.737,-0.09,5.812,5.7,12056802.0,69684.06,30/09/2021,14:31:31
11,CAIXABANK,2.686,-0.74,2.726,2.668,2783610.0,7523.71,30/09/2021,14:31:51
12,CELLNEX,53.22,0.3,54.22,53.18,354503.0,19020.87,30/09/2021,14:31:15
13,CIE AUTOMOT.,21.64,-2.08,22.2,21.56,97095.0,2122.73,30/09/2021,14:31:10
14,ENAGAS,19.26,0.47,19.35,19.17,643840.0,12387.33,30/09/2021,14:31:18
15,ENDESA,17.555,-1.71,18.0,17.525,705150.0,12475.24,30/09/2021,14:30:50
16,FERROVIAL,25.25,-0.98,25.9,25.11,281163.0,7154.23,30/09/2021,14:30:23
17,FLUIDRA,34.25,0.74,34.6,34.1,188615.0,6485.35,30/09/2021,14:31:15
18,GRIFOLS CL.A,21.18,-2.49,21.81,20.83,414707.0,8807.57,30/09/2021,14:28:51
19,IAG,2.094,-2.74,2.178,2.05,13230260.0,27948.22,30/09/2021,14:31:31
20,IBERDROLA,8.812,-1.37,8.996,8.79,4796344.0,42600.89,30/09/2021,14:31:49
21,INDITEX,32.44,0.78,32.63,32.24,830502.0,26924.77,30/09/2021,14:31:14
22,INDRA A,9.26,1.15,9.45,9.22,235211.0,2192.02,30/09/2021,14:30:23
23,INM.COLONIAL,8.47,0.47,8.59,8.41,181191.0,1536.25,30/09/2021,14:29:50
24,MAPFRE,1.8935,0.08,1.914,1.886,1299194.0,2467.71,30/09/2021,14:30:23
25,MELIA HOTELS,6.474,-2.5,6.716,6.434,468235.0,3069.01,30/09/2021,14:31:06
26,MERLIN,9.02,-0.07,9.258,8.974,254703.0,2318.67,30/09/2021,14:31:02
27,NATURGY,21.81,-0.46,21.98,21.76,655991.0,14347.6,30/09/2021,14:27:51
28,PHARMA MAR,74.94,0.73,76.9,74.5,44123.0,3335.63,30/09/2021,14:31:45
29,R.E.C.,17.285,0.09,17.395,17.25,147358.0,2551.0,30/09/2021,14:30:02
30,REPSOL,11.238,-0.07,11.38,11.18,2965096.0,33469.5,30/09/2021,14:31:33
31,SIEMENS GAME,22.29,-0.04,22.69,22.15,166302.0,3715.58,30/09/2021,14:31:01
32,SOLARIA,13.775,-4.47,14.58,13.57,1199711.0,16692.37,30/09/2021,14:31:35
33,TELEFONICA,4.0605,-0.54,4.1145,4.04,4639582.0,18859.38,30/09/2021,14:31:51
34,VISCOFAN,56.9,-0.52,57.75,56.9,19583.0,1122.13,30/09/2021,14:23:02
